date,mean_sunrise
2023-09-08,07:04 AM
2023-09-09,07:04 AM
2023-09-10,07:05 AM
2023-09-11,07:05 AM
2023-09-12,07:06 AM
2023-09-13,07:06 AM
2023-09-14,07:06 AM
2023-09-15,07:07 AM
2023-09-16,07:07 AM
2023-09-17,07:08 AM
2023-09-18,07:08 AM
2023-09-19,07:08 AM
2023-09-20,07:09 AM
2023-09-21,07:09 AM
2023-09-22,07:10 AM
2023-09-23,07:10 AM
2023-09-24,07:10 AM
2023-09-25,07:11 AM
2023-09-26,07:11 AM
2023-09-27,07:12 AM
2023-09-28,07:12 AM
2023-09-29,07:12 AM
2023-09-30,07:13 AM
2023-10-01,07:13 AM
2023-10-02,07:14 AM
2023-10-03,07:14 AM
2023-10-04,07:15 AM
2023-10-05,07:15 AM
2023-10-06,07:16 AM
2023-10-07,07:16 AM
2023-10-08,07:16 AM
2023-10-09,07:17 AM
2023-10-10,07:17 AM
2023-10-11,07:18 AM
2023-10-12,07:18 AM
2023-10-13,07:19 AM
2023-10-14,07:19 AM
2023-10-15,07:20 AM
2023-10-16,07:20 AM
2023-10-17,07:21 AM
2023-10-18,07:21 AM
2023-10-19,07:22 AM
2023-10-20,07:23 AM
2023-10-21,07:23 AM
2023-10-22,07:24 AM
2023-10-23,07:24 AM
2023-10-24,07:25 AM
2023-10-25,07:25 AM
2023-10-26,07:26 AM
2023-10-27,07:26 AM
2023-10-28,07:27 AM
2023-10-29,07:28 AM
2023-10-30,07:28 AM
2023-10-31,07:29 AM
2023-11-01,07:30 AM
2023-11-02,07:30 AM
2023-11-03,07:31 AM
2023-11-04,07:31 AM
2023-11-05,07:32 AM
2023-11-06,06:32 AM
2023-11-07,06:33 AM
2023-11-08,06:34 AM
2023-11-09,06:34 AM
2023-11-10,06:35 AM
2023-11-11,06:36 AM
2023-11-12,06:36 AM
2023-11-13,06:37 AM
2023-11-14,06:38 AM
2023-11-15,06:39 AM
2023-11-16,06:39 AM
2023-11-17,06:40 AM
2023-11-18,06:41 AM
2023-11-19,06:41 AM
2023-11-20,06:42 AM
2023-11-21,06:43 AM
2023-11-22,06:44 AM
2023-11-23,06:44 AM
2023-11-24,06:45 AM
2023-11-25,06:46 AM
2023-11-26,06:47 AM
2023-11-27,06:47 AM
2023-11-28,06:48 AM
2023-11-29,06:49 AM
2023-11-30,06:50 AM
2023-12-01,06:50 AM
2023-12-02,06:51 AM
2023-12-03,06:52 AM
2023-12-04,06:53 AM
2023-12-05,06:53 AM
2023-12-06,06:54 AM
2023-12-07,06:55 AM
2023-12-08,06:55 AM
2023-12-09,06:56 AM
2023-12-10,06:57 AM
2023-12-11,06:57 AM
2023-12-12,06:58 AM
2023-12-13,06:59 AM
2023-12-14,06:59 AM
2023-12-15,07:00 AM
2023-12-16,07:00 AM
2023-12-17,07:01 AM
2023-12-18,07:02 AM
2023-12-19,07:02 AM
2023-12-20,07:03 AM
2023-12-21,07:03 AM
2023-12-22,07:04 AM
2023-12-23,07:04 AM
2023-12-24,07:05 AM
2023-12-25,07:05 AM
2023-12-26,07:06 AM
2023-12-27,07:06 AM
2023-12-28,07:06 AM
2023-12-29,07:07 AM
2023-12-30,07:07 AM
2023-12-31,07:07 AM
2024-01-01,07:08 AM
2024-01-02,07:08 AM
2024-01-03,07:08 AM
2024-01-04,07:09 AM
2024-01-05,07:09 AM
2024-01-06,07:09 AM
2024-01-07,07:09 AM
2024-01-08,07:09 AM
2024-01-09,07:09 AM
2024-01-10,07:09 AM
2024-01-11,07:09 AM
2024-01-12,07:09 AM
2024-01-13,07:10 AM
2024-01-14,07:09 AM
2024-01-15,07:09 AM
2024-01-16,07:09 AM
2024-01-17,07:09 AM
2024-01-18,07:09 AM
2024-01-19,07:09 AM
2024-01-20,07:09 AM
2024-01-21,07:09 AM
2024-01-22,07:08 AM
2024-01-23,07:08 AM
2024-01-24,07:08 AM
2024-01-25,07:08 AM
2024-01-26,07:07 AM
2024-01-27,07:07 AM
2024-01-28,07:07 AM
2024-01-29,07:06 AM
2024-01-30,07:06 AM
2024-01-31,07:05 AM
2024-02-01,07:05 AM
2024-02-02,07:04 AM
2024-02-03,07:04 AM
2024-02-04,07:03 AM
2024-02-05,07:03 AM
2024-02-06,07:02 AM
2024-02-07,07:02 AM
2024-02-08,07:01 AM
2024-02-09,07:01 AM
2024-02-10,07:00 AM
2024-02-11,06:59 AM
2024-02-12,06:59 AM
2024-02-13,06:58 AM
2024-02-14,06:57 AM
2024-02-15,06:56 AM
2024-02-16,06:56 AM
2024-02-17,06:55 AM
2024-02-18,06:54 AM
2024-02-19,06:53 AM
2024-02-20,06:52 AM
2024-02-21,06:52 AM
2024-02-22,06:51 AM
2024-02-23,06:50 AM
2024-02-24,06:49 AM
2024-02-25,06:48 AM
2024-02-26,06:47 AM
2024-02-27,06:46 AM
2024-02-28,06:45 AM
2024-02-29,06:44 AM
2024-03-01,06:43 AM
2024-03-02,06:43 AM
2024-03-03,06:42 AM
2024-03-04,06:41 AM
2024-03-05,06:40 AM
2024-03-06,06:39 AM
2024-03-07,06:38 AM
2024-03-08,06:37 AM
2024-03-09,06:36 AM
2024-03-10,06:35 AM
2024-03-11,07:34 AM
2024-03-12,07:33 AM
2024-03-13,07:32 AM
2024-03-14,07:31 AM
2024-03-15,07:30 AM
2024-03-16,07:29 AM
2024-03-17,07:28 AM
2024-03-18,07:27 AM
2024-03-19,07:26 AM
2024-03-20,07:25 AM
2024-03-21,07:23 AM
2024-03-22,07:22 AM
2024-03-23,07:21 AM
2024-03-24,07:20 AM
