date,mean_sunrise
2023-12-27,07:18 AM
2023-12-28,07:18 AM
2023-12-29,07:18 AM
2023-12-30,07:18 AM
2023-12-31,07:19 AM
2024-01-01,07:19 AM
2024-01-02,07:19 AM
2024-01-03,07:19 AM
2024-01-04,07:19 AM
2024-01-05,07:19 AM
2024-01-06,07:19 AM
2024-01-07,07:19 AM
2024-01-08,07:18 AM
2024-01-09,07:18 AM
2024-01-10,07:18 AM
2024-01-11,07:18 AM
2024-01-12,07:18 AM
2024-01-13,07:17 AM
2024-01-14,07:17 AM
2024-01-15,07:16 AM
2024-01-16,07:16 AM
2024-01-17,07:15 AM
2024-01-18,07:15 AM
2024-01-19,07:14 AM
2024-01-20,07:14 AM
2024-01-21,07:13 AM
2024-01-22,07:12 AM
2024-01-23,07:12 AM
2024-01-24,07:11 AM
2024-01-25,07:10 AM
2024-01-26,07:09 AM
2024-01-27,07:09 AM
2024-01-28,07:08 AM
2024-01-29,07:07 AM
2024-01-30,07:06 AM
2024-01-31,07:05 AM
2024-02-01,07:04 AM
2024-02-02,07:03 AM
2024-02-03,07:02 AM
2024-02-04,07:01 AM
2024-02-05,07:00 AM
2024-02-06,06:58 AM
2024-02-07,06:57 AM
2024-02-08,06:56 AM
2024-02-09,06:55 AM
2024-02-10,06:54 AM
2024-02-11,06:52 AM
2024-02-12,06:51 AM
2024-02-13,06:50 AM
2024-02-14,06:48 AM
2024-02-15,06:47 AM
2024-02-16,06:46 AM
2024-02-17,06:44 AM
2024-02-18,06:43 AM
2024-02-19,06:41 AM
2024-02-20,06:40 AM
2024-02-21,06:39 AM
2024-02-22,06:37 AM
2024-02-23,06:36 AM
2024-02-24,06:34 AM
2024-02-25,06:33 AM
2024-02-26,06:31 AM
2024-02-27,06:29 AM
2024-02-28,06:28 AM
2024-02-29,06:26 AM
2024-03-01,06:25 AM
2024-03-02,06:23 AM
2024-03-03,06:22 AM
2024-03-04,06:20 AM
2024-03-05,06:18 AM
2024-03-06,06:17 AM
2024-03-07,06:15 AM
2024-03-08,06:13 AM
2024-03-09,06:12 AM
2024-03-10,06:10 AM
2024-03-11,07:09 AM
2024-03-12,07:07 AM
2024-03-13,07:05 AM
2024-03-14,07:04 AM
2024-03-15,07:02 AM
2024-03-16,07:00 AM
2024-03-17,06:59 AM
2024-03-18,06:57 AM
2024-03-19,06:55 AM
2024-03-20,06:53 AM
2024-03-21,06:52 AM
2024-03-22,06:50 AM
2024-03-23,06:48 AM
2024-03-24,06:46 AM
